Purchaser,Copies Ordered
Poetry Shop Hull,3.0
J. Miles,3.0
Lade & Co.,3.0
Hills,3.0
Heinemann,3.0
Hamma,3.0
Grant Glasgow,3.0
Gibson,3.0
Georges Sons,3.0
Fowler,3.0
Eaton,3.0
Dyer,3.0
Dowling,3.0
D. Spencer,3.0
"Cuthbertson, Melbourne",3.0
"Cornish, M'chester",3.0
"Combridge, B'ham",3.0
Hills & Co,3.0
Chandlers,3.0
Butler,3.0
Brunton (see 391),3.0
Brunton (see 3528),3.0
Brown & Browne,3.0
Book Soc. ,3.0
Bland (Arnold),3.0
Beauchamp,3.0
Banks from OS,3.0
Baker's Bookshop,3.0
B. Roha,3.0
Army & Export ,3.0
Archer,3.0
Akateeninem,3.0
Akateeminen Kirjakauppa,3.0
Central Ed. Derby,3.0
Hodges Figgis,3.0
Combridge B'ham,3.0
Jarrold Norwich,3.0
J. L. ,3.0
James Smith,3.0
Jarrold  ,3.0
Davenant,4.0
Greene,4.0
"Grants, Glasgow",4.0
Sisson & Parker,4.0
Topic,4.0
Seafarers,4.0
Thornton,4.0
Temple Fortune Bookshop,4.0
Dr. Schwarz,4.0
Booms,4.0
T. Whites,4.0
T. C. Allen & Co.,4.0
Sykes,4.0
Seed & Gabbutt,4.0
N. Malcolm,4.0
Stoneham,4.0
Brights,4.0
G. H. Bennett,4.0
"Smith, Kensington",4.0
Simms,4.0
Oxford B St Delhi,4.0
C. S. S. A.,4.0
Oxford B St Simla,4.0
Didier,4.0
Dickinson,4.0
Oxford Book & Stat Delhi,4.0
Beazley (Chanston St),4.0
Argus S. A. N.,4.0
Backus,4.0
Roditi,4.0
"Lothian, Melbourne",4.0
Argosy Lib,4.0
Host,4.0
Barker,4.0
Baxendine,4.0
Lyndale,4.0
Anderson,4.0
D. Wilson,4.0
A. B. WARD,4.0
A. Wilson,4.0
Abbey Bookshop,4.0
Harrods (BA),4.0
R. C. Trevelyan,4.0
Harrods B. Aries,4.0
Eaton (Winnipeg),5.0
Argosy Lehore (London),5.0
Eaton Co.,5.0
Burtons,5.0
Eaton (Montreal),5.0
Dawson Paris,5.0
Eland,5.0
Spurr & Swift,5.0
Kyle Fletcher,5.0
G. M. S. Bookshop,5.0
Quaritch,5.0
Gordon & Gotch (B.W.F. 231),5.0
H. Rees,5.0
Truslove,5.0
Beazley  ,5.0
Mr. Lehmann,5.0
Sanders,5.0
Clark (214-HBC),5.0
Maggs,5.0
Grants,5.0
Cornish  ,5.0
Clark (T. B. S. Pretoria),5.0
Glaisher Holborn,5.0
Commin,6.0
Caravan  ,6.0
Clark  ,6.0
Menzies Ed,6.0
Seed & Gabbott,6.0
Ramchandra Govind,6.0
Clark (R. Melbourne),6.0
Saxton,6.0
R. Grant (see 382),6.0
Menzies Ed. ,6.0
Smith Kensington,6.0
Wood,6.0
Army & Navy Stores,6.0
"Ward, F. J.",6.0
Asher,6.0
Librarie Internationale,6.0
John Smith,6.0
W. H. Smith S'port,6.0
W. H. Smith Paris,6.0
Beazley,6.0
V. F. Whitehead,6.0
United Bk Shop,6.0
Tyndale,6.0
Smith B'ham,6.0
Truslove Sloane,6.0
Tremayne,6.0
Timothy White ,6.0
Bookhunters,6.0
Booklovers Lib,6.0
"T. White, Portmouth",6.0
Brichall,6.0
Sutherland,6.0
"Spencer, Melbourne",6.0
Jardine,6.0
Sotheran,6.0
Browne & Browne,6.0
Smith Paris,6.0
Bk Socy,6.0
Brentano ,6.0
Cargills,6.0
Muban,6.0
Enskine Mayne,6.0
New School,6.0
Georges,6.0
J. Clark (156/157 BColoumbs),6.0
Mudies (Shop),6.0
Glaisher ,6.0
Darter,6.0
Maskew Miller,6.0
"Grant, Princes St.",6.0
Griffiths,6.0
Morale,6.0
"Harrods ("" 68)",6.0
Mitsuteshi,6.0
"Milne, Aberdeen",6.0
Fowles,6.0
Midland (B'ham),6.0
Menzies (Glasgow),6.0
Preece,6.0
Mewzies Ed.,6.0
Day's Lib,6.0
"Menzies, Glasgow",6.0
Mewzies (Edin),6.0
Hodges & Figgis,7.0
Mrs. Woolf,7.0
Chivers,7.0
Strathmore,7.0
Book Room,7.0
Parker,7.0
Foyles,7.0
Poetry Bkshop,7.0
Roberts,7.0
"Banks, Cheltenham",7.0
Mill House Press,7.0
Brierley,7.0
French Bookstore,8.0
Sundial Lib.,8.0
Stechert,8.0
Wilson,8.0
Thompson,8.0
Truslove Clifford St.,8.0
Cornish M'chester,8.0
Cunard's Co,9.0
Chelsea Bk Club,9.0
Edwards Dunlop,9.0
Eason,9.0
Opdenberg,9.0
Young,9.0
"Brown, Hull",9.0
Book Soc.,9.0
Meulenhoff,10.0
Argosy (London),10.0
Brookes & Saville,10.0
"Smith, Glasgow",10.0
Kundig,10.0
J. Smith Glasgow,10.0
Rees,10.0
J. Smith  ,10.0
Sherratt & Hughes (9 only sent),10.0
C. Sawyer,10.0
