Purchaser,Copies Ordered
Combridge Hove,6.0
Collins,6.0
Midland Educ. Co (B'ham),6.0
J. Baker,6.0
Mrs. Nicolson,7.0
Clark,7.0
Jackson,7.0
Cornish B'ham,7.0
Longmans Green,7.0
Central Education,7.0
A. Wilson,7.0
Nat. Society,7.0
Strathmore,7.0
Unicorn,7.0
Wm. Dawson,8.0
Midland Ed B'ham,8.0
Red Lion Bookshop,8.0
Ward F. J.,9.0
Book Soc.,9.0
Harding,9.0
Thin,9.0
Brights,9.0
Grant Education,9.0
Wyllie,9.0
Combridge,9.0
Sach,9.0
R. Grant,9.0
Walker Bros,10.0
Wilson (London),10.0
Longmans firm,10.0
Book Socy,10.0
John Clark,10.0
F. J. Ward,11.0
Better Books,11.0
Glaisher,11.0
Philip Son,12.0
John Smith,12.0
Continental Publications,12.0
H. Hill,12.0
Booklovers Lib,12.0
Smith's Strand Ho,12.0
"Menzies, Glasg",12.0
British Council,12.0
Myer Emporium,12.0
Truslove Sloane,12.0
Stanley,12.0
Denny,12.0
Roycroft,13.0
Times Book Co.,13.0
Meulenhoff,13.0
Sherratt & Hughes,14.0
Marlborough,14.0
Boots,14.0
Truslove Clifford,14.0
Lamley,15.0
Dawsons,16.0
Booklovers,17.0
Sunday Times,17.0
Dawson,17.0
Wilson,18.0
Holmes,18.0
Truslove & Hanson,18.0
Princes,18.0
Zwemmer,19.0
Douglas & Foulis,19.0
Bowes,19.0
Grants,20.0
Jardine,21.0
Cornish,21.0
Ancient House,22.0
Rees,22.0
Woolston,24.0
Whitcombe,24.0
Bowes & Bowes,24.0
Longman,25.0
Simpkins @ 2/1,25.0
Simplins,25.0
Argosy,26.0
Smith W. H.,30.0
MacMillan,30.0
J. Smith,30.0
Goulden & Curry,31.0
Preece,32.0
Foyles,34.0
Wyman,35.0
"Menzies, Ed",36.0
Army & Navy,40.0
Heffer,42.0
Lewis,43.0
E. S. A.,45.0
Selfridge,46.0
Whitcombe & Tombs,48.0
Truslove,52.0
Robertson & Mullens,54.0
Gordon & Gotch,55.0
Eaton,55.0
Harrods,60.0
Dymocks,61.0
Hatchards,78.0
Blackwell,87.0
Times,90.0
Smith Portugal St,100.0
Smith,108.0
Foyle,149.0
Bumpus,268.0
Simpkin,453.0
Simpkin Marshall,528.0
W. H. Smith,616.0
Simpkins,661.0
