Purchaser,Copies Ordered
Jarrold,17.0
Minerva,17.0
Hill & Churchill,17.0
Gilbert,17.0
Red Lion Bkshop [Bookshop],18.0
John Menzies & Co.,18.0
Combridge ,18.0
"W. H. Smith, Harrogate",18.0
Oppenheim,18.0
Continental Publishers,18.0
Army & Navy,18.0
Batchelor,18.0
Day's Library,18.0
Midland Education,18.0
Moore's Bkshop [Bookshop],18.0
"Oxf. Bk. Stat. [Oxford Book Station], Calcutta",18.0
Heffer ,18.0
"Wilson, Vic. St. [Victoria  Street]",18.0
K. C. C.,19.0
John Smith,20.0
Saxton,20.0
Pales Press,20.0
L. Mayor,20.0
Continental Publs. [Publishers],20.0
Parker,21.0
G. M.'s Bkshop [Bookshop],22.0
Argosy Library,24.0
"Truslove, Sloane St. [Street]",24.0
Chris ,24.0
Cargills,24.0
Bentalls,24.0
Woolston,24.0
J. Lewis ,24.0
"Argosy  Library, Wraysbury",25.0
"Argosy , Ledsham",25.0
Argosy & Sundial,25.0
Salmon & Gluckstein,25.0
Hatchends,25.0
"Harrods, Bk. Dept. [Book Department]",25.0
H. Rees,25.0
British. [British Council ],25.0
Libraris ,25.0
Lamley,26.0
Anglo-Egyptian,27.0
Goulden & Curry ,28.0
Walker,28.0
Jardine,28.0
Dawson,29.0
Kramer ,30.0
Edwards Dunlop,30.0
G. Phillip,31.0
Westwards Library,32.0
John Clark,32.0
Jackson,33.0
Story,33.0
Princes,34.0
Lodge & Lightfoot,34.0
Robertson & Mullens,34.0
Taraporevala ,35.0
Ghweh ,36.0
Argosy,36.0
Dymocks,36.0
"Ward, F. J. Brighton",36.0
Whitcombe,37.0
F. V. Morely,40.0
Marlborough,40.0
Cornish,42.0
Pied Piper,42.0
Angus & Robertson,45.0
Sherratt & Hughes,49.0
Halchards ,50.0
"Truslove, Clifford St. [Street]",50.0
Denny,51.0
Haldane,52.0
Holmes,56.0
Jackson & Sons,56.0
Better Books,59.0
Heywood Hill,60.0
Wm. Dawson,61.0
Wilson,63.0
Bowes & Bowes,66.0
Selfridge,74.0
Menzies,79.0
Clark,80.0
Whitcombe & Tombs,85.0
Douglas & Foulis,90.0
Harrods,97.0
Times Bk. Co. [Book Company],101.0
Sawyer,103.0
Book Society,105.0
Truslove,109.0
Simpkin Marshall,117.0
Heffer,122.0
Zwemmer,143.0
Gordon & Gotch,153.0
Hatchards,163.0
Foyle,201.0
Blackwell,240.0
"Harrods, Library",250.0
Simpkin fr. [from] OS.,250.0
Macmillan (Canada),250.0
"W. H. Smith, Strand House (Library)",250.0
"W. H. Smith, Strand House",251.0
Smith,304.0
Simpkin,320.0
Wm. Jackson,326.0
Bumpus,336.0
Times,526.0
Macmillan,752.0
W. H. Smith,954.0
Boots,1099.0
